speciesB	apri08	may08	jun08	jul08	aug08	sep08	oct08	nov08	dec08	jan09	feb09	mar09	apr09	total
Aburria_jacutinga	0	0	0	0	0	0	0	1	0	0	0	0	0	1
Amazilia_fimbriata	0	0	0	0	0	0	0	0	0	1	0	0	0	1
Anabazenops_fuscus	0	0	0	0	1	0	0	1	1	0	0	0	0	3
Arremon_flavirostris	0	0	0	0	0	0	0	0	0	0	1	0	0	1
Attila_rufus	1	0	0	2	0	1	0	0	0	0	0	0	0	4
Automolus_leucophthalmus	1	0	2	0	1	0	0	0	0	0	1	2	3	10
Basileuterus_culicivorus	0	0	0	0	0	0	0	0	3	0	1	0	0	4
Basileuterus_leucoblepharus	0	0	0	1	0	0	0	0	0	0	0	0	0	1
Basileuterus_leucophrys	0	0	0	0	0	0	0	0	0	0	0	1	0	1
Batara_cinerea	0	0	0	0	0	1	0	1	1	1	0	0	2	6
Brotogeris_tirica	0	0	0	0	0	1	0	1	1	1	0	3	0	7
Cacicus_haemorrhous	0	3	2	3	2	1	0	0	1	0	1	3	2	18
Camphylorhamphus_falcularius	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Celeus_flavescens	0	0	0	0	0	0	0	0	1	0	0	1	0	2
Chamaeza_meruloides	0	1	1	3	1	4	0	0	2	0	2	1	2	17
Chiroxiphia_caudata	1	1	1	2	1	1	0	3	1	1	1	4	4	21
Coereba_flaveola	0	0	0	0	0	1	0	0	0	0	0	0	0	1
Crypturellus_obsoletus	0	0	0	0	0	0	0	1	0	1	0	0	1	3
Cyclarhis_gujanensis	0	2	0	0	0	2	0	1	0	1	0	0	0	6
Dendrocincla_turdina	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dendrocolaptes_platyrostris	1	0	0	0	0	0	0	0	1	0	0	0	0	2
Drymophila_ferruginea	2	5	2	3	1	5	0	1	2	0	1	0	1	23
Drymophila_malura	0	0	0	0	0	0	0	1	0	0	0	1	0	2
Drymophila_ochropyga	0	0	0	1	0	1	0	0	0	0	2	0	2	6
Drymophila_rourei	0	0	0	0	0	1	0	0	0	0	0	0	0	1
Dryocopus_lineatus	1	0	0	0	0	0	0	0	0	0	0	0	0	1
Dysithamnus_mentalis	1	1	6	6	1	4	0	0	0	0	0	0	0	19
Dysithamnus_stictothorax	0	0	0	0	0	2	0	2	4	4	1	3	2	18
Elaenia_flavogaster	0	0	0	0	0	0	0	0	0	0	0	1	0	1
Euphonia_pectoralis	4	2	3	3	3	0	0	1	0	0	0	2	1	19
Euphonia_violacea	0	0	0	0	0	1	0	0	0	0	0	1	0	2
Forpus_xanthopterygius	0	0	0	0	0	0	0	0	0	0	0	1	0	1
Grallaria_varia	0	0	0	0	0	1	0	0	0	0	0	0	0	1
Habia_rubica	2	3	7	3	4	0	0	1	2	0	1	0	0	23
Haplospiza_unicolor	0	0	0	0	0	1	0	0	1	0	0	0	0	2
Heliobletus_contaminatus	0	0	0	0	0	0	0	0	0	0	0	0	1	1
Hemitriccus_diops	0	0	3	0	0	0	0	0	0	0	0	0	0	3
Hylopezus_nattereri	0	0	0	0	0	1	0	0	0	0	0	0	0	1
Hypoedaleus_guttatus	0	0	0	0	0	0	0	0	0	0	0	0	2	2
Lathrotriccus_euleri	0	0	0	0	0	1	0	0	2	0	0	0	0	3
Lipaugus_lanioides	0	0	1	2	2	2	0	4	0	3	0	0	0	14
Mackenziaena_severa	1	0	0	0	0	0	0	3	0	0	0	0	1	5
Megarynchus_pitangua	1	0	0	0	0	0	0	0	0	0	0	0	0	1
Merulaxis_ater	0	1	0	1	0	0	0	0	1	2	3	1	1	10
Myiodynastes_maculatus	0	0	0	0	0	0	0	1	3	0	0	0	0	4
Myrmeciza_loricata	2	0	0	0	0	0	0	1	0	0	1	0	1	5
Odontophorus_capueira	0	0	0	0	2	0	0	1	0	0	0	0	0	3
Pachyramphus_polychopterus	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Patagioenas_plumbea	0	0	0	0	3	1	0	2	1	0	1	1	0	9
Penelope_obscura	0	0	0	1	0	0	0	0	0	0	0	0	0	1
Phaethornis_squalidus	0	0	0	0	0	0	0	0	0	1	1	1	0	3
Phylidor_atricapillus	0	0	3	1	3	0	0	1	1	0	1	0	0	10
Piaya_cayana	1	1	0	0	0	0	0	0	0	0	0	1	0	3
Picumnus_sp	0	1	0	0	0	0	0	1	0	0	0	0	0	2
Pionus_maximiliani	0	0	0	0	0	1	0	0	0	0	0	0	0	1
Procnias_nudicollis	0	0	0	2	3	0	0	0	0	0	0	0	0	5
Pyriglena_leucoptera	0	3	1	1	0	1	0	0	0	1	0	0	0	7
Pyrrhura_frontalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ramphastos_dicolorus	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Ramphodon_naevius	6	11	8	7	5	3	0	3	3	5	0	6	5	62
Saltator_fuliginosus	0	2	3	1	4	3	0	4	3	3	2	4	1	30
Schiffornis_virescens	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sclerurus_scansor	2	0	0	0	0	0	0	0	0	0	0	0	0	2
Scytalopus_speluncae	0	0	0	0	0	0	0	0	0	0	0	0	2	2
Selenidera_maculirostris	0	0	0	2	0	1	0	0	1	0	0	2	0	6
Sittasomus_griseicapillus	0	1	0	0	0	0	0	0	0	0	1	0	0	2
Sporophila_frontalis	0	0	0	0	0	0	0	0	2	0	0	0	0	2
Synallaxis_ruficapilla	0	0	0	0	0	0	0	0	2	0	0	0	1	3
Synallaxis_spixi	0	0	0	0	2	0	0	0	0	0	0	0	0	2
Tachyphonus_coronatus	0	0	0	0	0	0	0	0	2	2	0	1	0	5
