speciesSB	apri08	may08	jun08	jul08	aug08	sep08	oct08	nov08	dec08	jan09	feb09	mar09	apr09	total
Aburria_jacutinga	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Amazilia_fimbriata	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anabazenops_fuscus	0	0	0	0	0	1	0	0	2	3	0	3	0	9
Arremon_flavirostris	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Attila_rufus	0	0	0	0	0	1	0	0	0	0	0	0	1	2
Automolus_leucophthalmus	0	2	1	1	2	1	0	1	0	2	0	3	0	13
Basileuterus_culicivorus	0	0	0	0	0	0	0	1	0	0	0	1	0	2
Basileuterus_leucoblepharus	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Basileuterus_leucophrys	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Batara_cinerea	0	0	0	0	0	0	0	0	2	0	0	0	1	3
Brotogeris_tirica	0	1	0	0	0	0	0	1	0	1	0	0	0	3
Cacicus_haemorrhous	0	5	4	4	4	1	0	0	1	0	0	1	0	20
Camphylorhamphus_falcularius	0	0	0	0	0	0	0	0	1	0	0	0	0	1
Celeus_flavescens	0	0	0	0	0	0	0	0	0	0	0	1	0	1
Chamaeza_meruloides	1	2	1	0	4	1	0	1	2	0	3	2	1	18
Chiroxiphia_caudata	0	2	0	0	0	2	0	0	2	0	0	2	1	9
Coereba_flaveola	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crypturellus_obsoletus	0	0	0	2	0	0	0	0	2	0	0	0	2	6
Cyclarhis_gujanensis	0	0	0	1	0	0	0	0	1	1	0	1	1	5
Dendrocincla_turdina	0	0	0	0	0	0	0	0	0	0	0	0	1	1
Dendrocolaptes_platyrostris	1	0	0	0	0	0	0	0	0	1	0	0	0	2
Drymophila_ferruginea	3	5	1	0	0	0	0	1	0	0	0	1	1	12
Drymophila_malura	0	0	0	0	0	0	0	1	0	0	0	0	0	1
Drymophila_ochropyga	0	0	0	0	0	0	0	0	0	0	0	1	0	1
Drymophila_rourei	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dryocopus_lineatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dysithamnus_mentalis	1	2	7	6	0	2	0	0	0	0	0	0	0	18
Dysithamnus_stictothorax	0	0	0	0	0	0	0	3	0	1	1	6	0	11
Elaenia_flavogaster	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Euphonia_pectoralis	1	4	0	2	1	1	0	2	1	1	0	2	2	17
Euphonia_violacea	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Forpus_xanthopterygius	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Grallaria_varia	0	0	0	0	1	2	0	0	3	2	0	0	0	8
Habia_rubica	3	3	4	2	1	1	0	0	3	3	1	4	0	25
Haplospiza_unicolor	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Heliobletus_contaminatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hemitriccus_diops	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hylopezus_nattereri	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hypoedaleus_guttatus	1	0	0	0	0	0	0	0	0	0	0	0	0	1
Lathrotriccus_euleri	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lipaugus_lanioides	0	0	0	0	3	2	0	1	1	2	0	1	0	10
Mackenziaena_severa	0	0	0	0	0	0	0	0	1	0	0	0	0	1
Megarynchus_pitangua	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Merulaxis_ater	0	0	0	0	0	1	0	0	1	0	2	2	3	9
Myiodynastes_maculatus	0	0	0	0	0	0	0	0	0	1	0	0	0	1
Myrmeciza_loricata	3	0	0	0	1	2	0	1	0	1	0	0	0	8
Odontophorus_capueira	0	0	0	0	3	2	0	0	1	0	0	0	0	6
Pachyramphus_polychopterus	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Patagioenas_plumbea	0	0	0	4	6	1	0	2	1	0	0	0	0	14
Penelope_obscura	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phaethornis_squalidus	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phylidor_atricapillus	0	0	1	0	0	0	0	1	2	0	0	4	0	8
Piaya_cayana	1	0	1	0	0	1	0	0	0	1	0	0	0	4
Picumnus_sp	0	0	0	1	1	0	0	1	0	0	0	0	0	3
Pionus_maximiliani	0	0	0	0	0	0	0	0	0	0	0	0	0	0
