site	Aburria_jacutinga	Amazilia_fimbriata	Anabazenops_fuscus	Arremon_flavirostris	Attila_rufus	Automolus_leucophthalmus	Basileuterus_culicivorus	Basileuterus_leucoblepharus	Basileuterus_leucophrys	Batara_cinerea	Brotogeris_tirica	Cacicus_haemorrhous	Camphylorhamphus_falcularius	Celeus_flavescens	Chamaeza_meruloides	Chiroxiphia_caudata	Coereba_flaveola	Crypturellus_obsoletus	Cyclarhis_gujanensis	Dendrocincla_turdina	Dendrocolaptes_platyrostris	Drymophila_ferruginea	Drymophila_malura	Drymophila_ochropyga	Drymophila_rourei	Dryocopus_lineatus	Dysithamnus_mentalis	Dysithamnus_stictothorax	Elaenia_flavogaster	Euphonia_pectoralis	Euphonia_violacea	Forpus_xanthopterygius	Grallaria_varia	Habia_rubica	Haplospiza_unicolor	Heliobletus_contaminatus	Hemitriccus_diops	Hylopezus_nattereri	Hypoedaleus_guttatus	Lathrotriccus_euleri	Lipaugus_lanioides	Mackenziaena_severa	Megarynchus_pitangua	Merulaxis_ater	Myiodynastes_maculatus	Myrmeciza_loricata	Odontophorus_capueira	Pachyramphus_polychopterus	Patagioenas_plumbea	Penelope_obscura	Phaethornis_squalidus	Phylidor_atricapillus	Piaya_cayana	Picumnus_sp	Pionus_maximiliani	Procnias_nudicollis	Pyriglena_leucoptera	Pyrrhura_frontalis	Ramphastos_dicolorus	Ramphodon_naevius	Saltator_fuliginosus	Schiffornis_virescens	Sclerurus_scansor	Scytalopus_speluncae	Selenidera_maculirostris	Sittasomus_griseicapillus	Sporophila_frontalis	Synallaxis_ruficapilla	Synallaxis_spixi	Tachyphonus_coronatus	Tangara_cyanocephala	Tangara_seledon	Thraupis_cyanoptera	Thraupis_palmarum	Tinamus_solitarius	Tolmomyias_sulphurescens	Trogon_viridis	Turdus_albicollis	Turdus_flavipes	Turdus_rufiventris	Xiphocolaptes_albicollis
B	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	1	1	0	0	4	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	6	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0
B	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	1	0	0	2	0	0	5	0	0	0	0	1	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	3	0	1	11	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0
B	0	0	0	0	0	2	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	2	0	0	0	0	6	0	0	3	0	0	0	7	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	8	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0
B	0	0	0	0	2	0	0	1	0	0	0	3	0	0	3	2	0	0	0	0	0	3	0	1	0	0	6	0	0	3	0	0	0	3	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	1	0	0	0	2	1	0	0	7	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	3
B	0	0	1	0	0	1	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	3	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0	2	0	3	0	0	3	0	0	0	3	0	0	0	5	4	0	0	0	0	0	0	0	2	0	0	0	0	0	1	2	9	4	1	0	0
B	0	0	0	0	1	0	0	0	0	1	1	1	0	0	4	1	1	0	2	0	0	5	0	1	1	0	4	2	0	0	1	0	1	0	1	0	0	1	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	3	3	0	0	0	1	0	0	0	0	0	0	0	0	1	3	1	3	2	0	0	0
B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	3	0	1	1	0	0	1	1	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	4	3	0	0	1	1	1	0	2	0	0	1	0	1	0	0	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	3	1	1	0	0
B	0	0	1	0	0	0	3	0	0	1	1	1	0	1	2	1	0	0	0	0	1	2	0	0	0	0	0	4	0	0	0	0	0	2	1	0	0	0	0	2	0	0	0	1	3	0	0	0	1	0	0	1	0	0	0	0	0	0	0	3	3	0	0	0	1	0	2	2	0	2	0	0	0	0	3	0	5	5	1	0	0
B	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	5	3	0	0	0	0	0	0	0	0	2	0	0	1	0	3	0	1	0	0	0	0
B	0	0	0	1	0	1	1	0	0	0	0	1	0	0	2	1	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0
B	0	0	0	0	0	2	0	0	1	0	3	3	0	1	1	4	0	0	0	0	0	0	1	0	0	0	0	3	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	6	4	0	0	0	2	0	0	0	0	1	0	1	0	0	1	1	0	2	0	0	0
B	0	0	0	0	0	3	0	0	0	2	0	2	0	0	2	4	0	1	0	0	0	1	0	2	0	0	0	2	0	1	0	0	0	0	0	1	0	0	2	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	2	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0
SB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	3	0	0	0	0	1	0	0	1	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
SB	0	0	0	0	0	2	0	0	0	0	1	5	0	0	2	2	0	0	0	0	0	5	0	0	0	0	2	0	0	4	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	2	0	0	0
SB	1	0	0	0	0	1	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	1	0	0	0	0	7	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	7	5	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	3	4	0	0	0
SB	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	2	1	0	0	0	0	0	0	0	6	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	8	0	0	0	8	5	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	5	7	0	4	0
SB	0	0	0	0	0	2	0	0	0	0	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	3	0	0	0	0	1	3	1	6	0	0	0	0	1	0	7	0	0	1	2	3	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	6	8	2	2	1
SB	0	0	1	0	1	1	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	2	1	0	0	0	0	0	0	2	0	0	1	0	2	2	0	1	0	0	0	1	0	0	4	0	0	0	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	6	3	1	0	0
