block	mhab	sow	add	excl	germ	s.unk	s.herb	s.path	sdl.unk	sdl.herb	sdl.path	sdl.surv	pemerg	M1	M2	M3	p1	p2	p3	M4	M5	M6	psurv	p4	p5	p6	precr
F1	B	7	C	O	1	6	0	0	1	0	0	0	0.14	0.86	0.00	0.00	0.14	1.00	1.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	0.00
G1	B	7	C	O	5	2	0	0	5	0	0	0	0.71	0.29	0.00	0.00	0.71	1.00	1.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	0.00
H2	B	7	C	O	5	2	0	0	3	1	0	1	0.71	0.29	0.00	0.00	0.71	1.00	1.00	0.60	0.20	0.00	0.20	0.40	0.80	1.00	0.14
E11	B	7	C	O	4	2	0	1	3	1	0	0	0.57	0.29	0.00	0.14	0.71	1.00	0.86	0.75	0.25	0.00	0.00	0.25	0.75	1.00	0.00
E14	B	7	C	O	1	5	0	1	0	0	0	1	0.14	0.71	0.00	0.14	0.29	1.00	0.86	0.00	0.00	0.00	1.00	1.00	1.00	1.00	0.14
D14	B	7	C	O	0	7	0	0	0	0	0	0	0.00	1.00	0.00	0.00	0.00	1.00	1.00	NA	NA	NA	NA	NA	NA	NA	0.00
G10	B	7	C	O	2	3	0	2	2	0	0	0	0.29	0.43	0.00	0.29	0.57	1.00	0.71	1.00	0.00	0.00	0.00	0.00	1.00	1.00	0.00
H9	B	7	C	O	0	6	1	0	0	0	0	0	0.00	0.86	0.14	0.00	0.14	0.86	1.00	NA	NA	NA	NA	NA	NA	NA	0.00
I11	B	7	C	O	2	2	0	3	2	0	0	0	0.29	0.29	0.00	0.43	0.71	1.00	0.57	1.00	0.00	0.00	0.00	0.00	1.00	1.00	0.00
I11	B	7	C	O	3	4	0	0	3	0	0	0	0.43	0.57	0.00	0.00	0.43	1.00	1.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	0.00
K2	B	7	C	O	6	1	0	0	6	0	0	0	0.86	0.14	0.00	0.00	0.86	1.00	1.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	0.00
M2	B	7	C	O	0	7	0	0	0	0	0	0	0.00	1.00	0.00	0.00	0.00	1.00	1.00	NA	NA	NA	NA	NA	NA	NA	0.00
N2	B	7	C	O	3	3	1	0	1	0	0	2	0.43	0.43	0.14	0.00	0.57	0.86	1.00	0.33	0.00	0.00	0.67	0.67	1.00	1.00	0.29
O2	B	7	C	O	5	0	1	1	0	0	1	4	0.71	0.00	0.14	0.14	1.00	0.86	0.86	0.00	0.00	0.20	0.80	1.00	1.00	0.80	0.57
K3	B	7	C	O	3	3	0	1	2	0	0	1	0.43	0.43	0.00	0.14	0.57	1.00	0.86	0.67	0.00	0.00	0.33	0.33	1.00	1.00	0.14
K5	B	7	C	O	4	1	0	2	0	0	3	1	0.57	0.14	0.00	0.29	0.86	1.00	0.71	0.00	0.00	0.75	0.25	1.00	1.00	0.25	0.14
K3	B	7	C	O	0	6	0	1	0	0	0	0	0.00	0.86	0.00	0.14	0.14	1.00	0.86	NA	NA	NA	NA	NA	NA	NA	0.00
K2-K3	B	7	C	O	0	7	0	0	0	0	0	0	0.00	1.00	0.00	0.00	0.00	1.00	1.00	NA	NA	NA	NA	NA	NA	NA	0.00
K6	B	7	C	O	4	3	0	0	2	0	0	2	0.57	0.43	0.00	0.00	0.57	1.00	1.00	0.50	0.00	0.00	0.50	0.50	1.00	1.00	0.29
M9	B	7	C	O	0	7	0	0	0	0	0	0	0.00	1.00	0.00	0.00	0.00	1.00	1.00	NA	NA	NA	NA	NA	NA	NA	0.00
F1	B	21	A	O	2	19	0	0	2	0	0	0	0.10	0.90	0.00	0.00	0.10	1.00	1.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	0.00
G1	B	21	A	O	5	13	3	0	5	0	0	0	0.24	0.62	0.00	0.00	0.38	1.00	1.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	0.00
H2	B	21	A	O	11	8	2	0	11	0	0	0	0.52	0.38	0.00	0.00	0.62	1.00	1.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	0.00
E11	B	21	A	O	9	10	0	2	8	1	0	0	0.43	0.48	0.00	0.10	0.52	1.00	0.90	0.89	0.11	0.00	0.00	0.11	0.89	1.00	0.00
E14	B	21	A	O	7	13	1	0	7	0	0	0	0.33	0.62	0.00	0.00	0.38	1.00	1.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	0.00
D14	B	21	A	O	0	17	3	1	0	0	0	0	0.00	0.81	0.00	0.05	0.19	1.00	0.95	NA	NA	NA	NA	NA	NA	NA	0.00
G10	B	21	A	O	8	5	4	4	8	0	0	0	0.38	0.24	0.01	0.19	0.76	0.99	0.81	1.00	0.00	0.00	0.00	0.00	1.00	1.00	0.00
H9	B	21	A	O	8	10	2	1	8	0	0	0	0.38	0.48	0.00	0.05	0.52	1.00	0.95	1.00	0.00	0.00	0.00	0.00	1.00	1.00	0.00
I11	B	21	A	O	12	8	0	1	12	0	0	0	0.57	0.38	0.00	0.05	0.62	1.00	0.95	1.00	0.00	0.00	0.00	0.00	1.00	1.00	0.00
I11	B	21	A	O	9	9	3	0	8	1	0	0	0.43	0.43	0.00	0.00	0.57	1.00	1.00	0.89	0.11	0.00	0.00	0.11	0.89	1.00	0.00
K2	B	21	A	O	9	9	3	0	9	0	0	0	0.43	0.43	0.00	0.00	0.57	1.00	1.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	0.00
M2	B	21	A	O	0	21	0	0	0	0	0	0	0.00	1.00	0.00	0.00	0.00	1.00	1.00	NA	NA	NA	NA	NA	NA	NA	0.00
N2	B	21	A	O	16	4	1	0	0	4	1	11	0.76	0.19	0.00	0.00	0.81	1.00	1.00	0.00	0.25	0.06	0.69	1.00	0.75	0.94	0.52
O2	B	21	A	O	15	5	1	0	5	1	2	7	0.71	0.24	0.00	0.00	0.76	1.00	1.00	0.33	0.07	0.13	0.47	0.67	0.93	0.87	0.33
K3	B	21	A	O	11	6	4	0	5	1	3	2	0.52	0.29	0.01	0.00	0.71	0.99	1.00	0.45	0.09	0.27	0.18	0.55	0.91	0.73	0.10
K5	B	21	A	O	12	3	2	4	0	1	9	2	0.57	0.14	0.00	0.19	0.86	1.00	0.81	0.00	0.08	0.75	0.17	1.00	0.92	0.25	0.10
K3	B	21	A	O	1	19	0	1	1	0	0	0	0.05	0.90	0.00	0.05	0.10	1.00	0.95	1.00	0.00	0.00	0.00	0.00	1.00	1.00	0.00
K2-K3	B	21	A	O	0	18	1	2	0	0	0	0	0.00	0.86	0.00	0.10	0.14	1.00	0.90	NA	NA	NA	NA	NA	NA	NA	0.00
K6	B	21	A	O	9	9	1	2	6	0	0	3	0.43	0.43	0.00	0.10	0.57	1.00	0.90	0.67	0.00	0.00	0.33	0.33	1.00	1.00	0.14
M9	B	21	A	O	1	20	0	0	1	0	0	0	0.05	0.95	0.00	0.00	0.05	1.00	1.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	0.00
F1	B	7	C	E	6	0	0	1	0	4	0	2	0.86	0.00	0.00	0.14	1.00	1.00	0.86	0.00	0.67	0.00	0.33	1.00	0.33	1.00	0.29
G1	B	7	C	E	3	4	0	0	0	0	0	3	0.43	0.57	0.00	0.00	0.43	1.00	1.00	0.00	0.00	0.00	1.00	1.00	1.00	1.00	0.43
H2	B	7	C	E	6	0	1	0	0	1	0	5	0.86	0.00	0.14	0.00	1.00	0.86	1.00	0.00	0.17	0.00	0.83	1.00	0.83	1.00	0.71
E11	B	7	C	E	5	0	0	2	0	1	3	1	0.71	0.00	0.00	0.29	1.00	1.00	0.71	0.00	0.20	0.60	0.20	1.00	0.80	0.40	0.14
E14	B	7	C	E	2	0	1	4	0	0	0	2	0.29	0.00	0.14	0.57	1.00	0.86	0.43	0.00	0.00	0.00	1.00	1.00	1.00	1.00	0.29
D14	B	7	C	E	4	0	1	2	0	1	1	2	0.57	0.00	0.14	0.29	1.00	0.86	0.71	0.00	0.25	0.25	0.50	1.00	0.75	0.75	0.29
G10	B	7	C	E	1	0	3	3	0	0	0	1	0.14	0.00	0.43	0.43	1.00	0.57	0.57	0.00	0.00	0.00	1.00	1.00	1.00	1.00	0.14
H9	B	7	C	E	4	0	1	2	0	0	0	4	0.57	0.00	0.14	0.29	1.00	0.86	0.71	0.00	0.00	0.00	1.00	1.00	1.00	1.00	0.57
I11	B	7	C	E	4	1	0	2	0	0	0	4	0.57	0.14	0.00	0.29	0.86	1.00	0.71	0.00	0.00	0.00	1.00	1.00	1.00	1.00	0.57
I11	B	7	C	E	5	1	0	1	1	0	0	4	0.71	0.14	0.00	0.14	0.86	1.00	0.86	0.20	0.00	0.00	0.80	0.80	1.00	1.00	0.57
