col_parc	period	plot	site	x	y	seeds	seedsp	euterpe	sloanea	virola	seedl	seedlsp	seedl_NI	seedlsurv	eut.seedl	slo.seedl	vir.seedl	nivel	photo	vissky	isf	isfu	dsf	dsfu	gsf	gsfu	difbe	difbeu	dirbe	dirbeu	totbe	totbeu	lai	eladp	mla	gndcover	laidev	pH_H2O	pH_KCl	pH_Cacl2	MO	P	Na	K	Ca	Mg	Al	H+Al	SB	T	Vpct	mpct	vcs	cs	ms	fs	vfs	sandpct	siltpct	claypct	natclay	dens_gcm3	phi_r	phi_s	alfa	m	n	S
1	D	C5	NB	202939.9	7322589.83	196	11	0	0	0	20	4	0	20	0	0	0	9	DSCN7476_2	0.074	0.133	0.096	0.137	0.121	0.135	0.106	771	952	589	712	1360	1664	3.05	0.88	60	0.75	2.0460	4.00	3.90	3.800	36.5	6.5	0.7	2.10	8.0	3.0	15.5	74.0	13.80	87.80	13.5	59.5	14.5	21.0	11.5	11.0	3.5	61.5	11.5	27.0	4.0	1.13	0.14	0.56	1.32	0.10	1.12	0.03
2	D	E5	NB	202975.38	7322563.59	2844	15	0	0	0	60	9	4	60	0	0	0	2	DSCN7473	0.062	0.118	0.082	0.109	0.095	0.114	0.087	681	811	466	557	1148	1368	4.128	0.447	73	0.666	2.7203	4.05	3.75	3.700	33.5	13.5	0.4	2.25	13.5	6.0	16.0	68.0	22.15	90.15	22.5	47.5	16.0	15.0	6.5	7.0	2.0	46.5	14.5	39.0	8.0	1.13	0.16	0.56	0.79	0.18	1.22	0.04
3	D	D7	NB	202988.62	7322591.57	648	12	0	0	0	148	10	6	140	4	0	0	3	DSCN7592	0.048	0.080	0.060	0.141	0.123	0.106	0.083	461	593	604	720	1066	1313	3.336	1.442	47	0.875	1.8867	3.90	3.80	3.800	35.5	5.5	0.9	2.40	7.5	6.5	13.5	63.0	17.25	80.25	21.5	44.0	18.5	18.0	9.0	7.5	2.0	55.0	7.0	38.0	17.0	1.13	0.18	0.54	0.98	0.18	1.21	0.04
4	D	F9	B	203039.31	7322586.55	940	6	4	0	0	76	7	9	48	0	0	0	3	DSCN7504	0.046	0.073	0.056	0.060	0.053	0.067	0.055	420	559	257	314	677	873	3.233	1.815	40	0.894	2.1135	4.15	3.90	3.950	43.5	14.0	1.6	5.85	39.0	18.0	7.5	66.0	64.45	130.45	44.0	17.5	13.5	12.0	7.5	7.0	1.5	41.5	15.5	43.0	14.5	1.13	0.17	0.56	0.68	0.20	1.26	0.05
5	D	F9	B	203039.68	7322587.43	2300	9	4	0	0	40	6	2	24	4	0	0	3	DSCN7503	0.067	0.112	0.084	0.100	0.090	0.107	0.086	647	830	428	527	1075	1357	2.993	1.242	51	0.820	1.7390	4.15	3.90	3.950	43.5	14.0	1.6	5.85	39.0	18.0	7.5	66.0	64.45	130.45	44.0	17.5	13.5	12.0	7.5	7.0	1.5	41.5	15.5	43.0	14.5	1.13	0.17	0.56	0.68	0.20	1.26	0.05
6	D	G10 	B	203073.27	7322574.23	12252	3	0	0	0	40	5	3	40	12	0	0	3	DSCN7505	0.050	0.093	0.065	0.127	0.111	0.107	0.082	536	646	546	650	1082	1295	4.063	0.671	66	0.781	3.3469	3.50	3.50	3.400	33.0	17.0	1.4	5.30	11.0	9.0	26.0	106.0	26.70	132.70	20.0	49.0	8.0	14.0	12.0	8.0	1.0	43.0	11.0	46.0	4.0	0.99	0.19	0.60	0.90	0.18	1.22	0.05
7	D	G10	B	203073.73	7322581.4	708	5	0	0	0	44	8	3	28	4	0	0	3	DSCN7501	0.061	0.082	0.070	0.089	0.090	0.085	0.077	476	693	380	528	857	1220	2.732	3.127	27	0.898	2.6688	3.85	3.65	3.650	44.5	15.0	1.4	7.90	17.0	13.5	21.5	97.5	39.75	137.25	25.5	43.0	17.5	15.0	8.0	6.0	1.5	48.0	9.5	42.5	10.5	1.13	0.19	0.54	0.79	0.20	1.25	0.05
8	D	H11	B	203091.37	7322565.54	304	4	0	0	0	36	4	3	20	12	0	0	2	DSCN7511	0.048	0.093	0.064	0.120	0.097	0.105	0.076	537	635	516	570	1053	1205	7.949	0.001	90	0.005	5.1347	3.95	3.70	3.650	38.5	9.5	0.7	5.60	10.0	12.5	18.5	90.0	28.80	118.80	21.5	46.0	18.5	17.0	8.0	5.0	1.0	49.5	12.5	38.0	6.0	1.13	0.16	0.55	0.90	0.17	1.21	0.04
9	D	H12 	B	203049.6	7322671.27	352	3	0	0	0	8	2	0	4	0	0	0	2	DSCN7506	0.072	0.108	0.087	0.156	0.151	0.128	0.111	622	859	671	885	1293	1743	2.602	2.187	36	0.858	2.1115	3.80	3.65	3.600	42.0	10.0	0.8	2.95	5.0	7.0	24.5	88.0	15.70	103.70	14.0	64.0	21.0	14.0	6.5	5.5	2.5	49.5	12.5	38.0	8.5	1.13	0.16	0.55	0.95	0.17	1.21	0.04
10	D	H12	B	203120.01	7322571	792	4	0	0	0	24	4	2	12	4	0	0	2	DSCN7508	0.064	0.075	0.070	0.080	0.078	0.077	0.073	433	691	345	455	778	1146	2.618	5.899	15	0.913	1.9877	3.90	3.80	3.700	42.5	5.0	0.6	2.55	3.5	3.5	14.5	97.5	10.15	107.65	9.0	60.5	17.0	13.5	7.0	5.5	1.5	44.5	14.5	41.0	2.0	1.13	0.16	0.56	0.80	0.19	1.24	0.04
11	D	F12	B	203107.46	7322612.99	292	6	0	0	0	48	4	6	28	8	0	0	2	DSCN7509	0.060	0.100	0.075	0.154	0.141	0.123	0.100	580	744	661	828	1241	1572	3.037	1.376	48	0.842	2.3467	3.70	3.75	3.600	35.5	11.5	0.8	2.80	5.0	4.0	26.0	75.5	12.60	88.10	14.5	68.5	18.5	16.0	6.5	5.5	2.0	48.5	10.5	41.0	3.0	1.13	0.18	0.55	0.83	0.19	1.24	0.05
12	D	G11	B	203097.39	7322586.28	516	5	0	0	0	36	7	2	32	0	0	0	3	DSCN7500	0.059	0.098	0.074	0.124	0.112	0.109	0.088	564	731	533	657	1097	1388	2.982	1.546	45	0.854	1.9508	3.95	3.70	3.650	38.5	9.5	0.7	5.60	10.0	12.5	18.5	90.0	28.80	118.80	21.5	46.0	18.5	17.0	8.0	5.0	1.0	49.5	12.5	38.0	6.0	1.13	0.16	0.55	0.90	0.17	1.21	0.04
13	D	G11 	B	203082.93	7322598.75	3216	10	0	0	0	32	3	3	20	0	0	0	3	DSCN7510	0.053	0.088	0.066	0.066	0.064	0.079	0.065	508	656	283	377	791	1033	3.162	1.490	46	0.865	1.8798	3.80	3.65	3.650	34.5	10.5	0.8	2.40	12.0	6.5	21.5	85.5	21.70	107.20	18.0	55.5	16.5	12.5	7.5	6.0	1.0	43.5	12.5	44.0	5.5	1.13	0.18	0.55	0.70	0.21	1.27	0.05
14	D	F10	B	203059.93	7322596.32	1136	5	0	0	0	20	2	2	16	0	0	0	3	DSCN7499	0.046	0.086	0.060	0.086	0.073	0.086	0.065	496	596	368	428	864	1025	4.232	0.666	66	0.792	2.6549	3.75	3.65	3.550	43.5	11.5	1.1	2.50	4.5	6.0	23.5	80.0	14.10	94.10	14.0	64.5	17.0	11.0	6.0	5.0	2.0	41.0	16.0	43.0	6.0	1.13	0.16	0.56	0.69	0.20	1.26	0.05
15	D	F10	B	203061.91	7322601.95	872	4	0	0	4	36	4	4	24	4	0	0	3	DSCN7498	0.068	0.096	0.080	0.076	0.073	0.088	0.077	557	789	327	430	884	1219	2.667	2.469	32	0.876	2.2114	3.75	3.65	3.550	43.5	11.5	1.1	2.50	4.5	6.0	23.5	80.0	14.10	94.10	14.0	64.5	17.0	11.0	6.0	5.0	2.0	41.0	16.0	43.0	6.0	1.13	0.16	0.56	0.69	0.20	1.26	0.05
16	D	E12	B	203055.27	7322678.9	76	9	0	0	0	72	5	5	48	0	0	0	1	DSCN7496	0.048	0.077	0.060	0.086	0.075	0.081	0.065	447	591	370	442	818	1033	3.167	1.787	41	0.888	2.3050	3.80	3.65	3.600	42.0	10.0	0.8	2.95	5.0	7.0	24.5	88.0	15.70	103.70	14.0	64.0	21.0	14.0	6.5	5.5	2.5	49.5	12.5	38.0	8.5	1.13	0.16	0.55	0.95	0.17	1.21	0.04
17	D	E14	B	203116.12	7322658.99	328	7	0	0	0	48	4	6	20	8	0	0	3	DSCN7491_2	0.059	0.106	0.076	0.138	0.119	0.120	0.092	612	751	593	698	1205	1449	4.394	0.464	73	0.700	2.4131	3.65	3.60	3.500	53.5	10.0	0.7	2.50	7.5	4.5	22.0	69.0	15.15	84.15	17.0	60.5	25.0	17.5	6.5	5.5	1.5	56.0	10.0	34.0	7.0	1.13	0.16	0.54	1.15	0.14	1.17	0.04
18	D	E15	B	203134.23	7322672.73	512	9	4	0	0	80	6	9	52	4	0	0	3	DSCN7493_2	0.053	0.094	0.068	0.130	0.116	0.109	0.086	544	671	556	682	1101	1353	4.098	0.658	66	0.778	2.3844	3.85	3.65	3.650	38.0	15.0	1.0	3.70	25.0	8.5	16.0	88.0	38.15	126.15	26.0	39.5	20.5	13.5	5.5	5.5	2.0	47.0	13.5	39.5	5.0	1.13	0.16	0.55	0.84	0.18	1.23	0.04
19	D	D14	B	203119.99	7322674.06	9444	9	0	0	0	48	5	4	36	12	0	0	2	DSCN7495_2	0.065	0.098	0.078	0.098	0.095	0.098	0.085	566	777	420	560	986	1338	2.731	2.112	36	0.868	1.7651	3.85	3.65	3.650	38.0	15.0	1.0	3.70	25.0	8.5	16.0	88.0	38.15	126.15	26.0	39.5	20.5	13.5	5.5	5.5	2.0	47.0	13.5	39.5	5.0	1.13	0.16	0.55	0.84	0.18	1.23	0.04
20	D	C12	NB	203070.92	7322671.17	116	8	0	0	0	56	8	4	44	4	0	0	3	DSCN7488	0.086	0.157	0.111	0.265	0.233	0.203	0.156	907	1101	1138	1366	2046	2468	3.445	0.455	73	0.605	3.2317	3.80	3.65	3.600	42.0	10.0	0.8	2.95	5.0	7.0	24.5	88.0	15.70	103.70	14.0	64.0	21.0	14.0	6.5	5.5	2.5	49.5	12.5	38.0	8.5	1.13	0.16	0.55	0.95	0.17	1.21	0.04
21	D	C15	B	203118.78	7322701.02	88	3	0	0	0	132	6	5	64	8	0	0	3	DSCN7489	0.056	0.106	0.074	0.106	0.090	0.106	0.080	612	730	454	530	1066	1259	5.350	0.250	81	0.563	3.0532	3.90	3.70	3.700	36.0	18.0	1.1	3.80	15.5	12.5	24.5	119.0	32.90	151.90	18.5	51.5	14.0	14.5	7.5	6.5	2.5	45.0	13.0	42.0	7.5	1.13	0.17	0.56	0.79	0.19	1.25	0.05
22	D	C10	NB	203036.57	7322664.22	276	14	0	12	0	52	8	3	52	0	0	0	5	DSCN7485	0.067	0.103	0.080	0.129	0.114	0.115	0.093	598	794	556	667	1154	1461	4.511	0.486	72	0.724	3.6088	3.95	3.85	3.700	43.0	7.5	0.8	2.25	2.5	4.5	24.0	94.0	10.00	104.00	9.0	73.0	16.0	13.0	7.5	8.0	2.0	46.5	12.0	41.5	1.0	1.13	0.18	0.56	0.76	0.19	1.24	0.05
23	D	B10	NB	203024.12	7322675.74	388	7	0	0	0	44	5	3	32	0	0	0	4	DSCN7484	0.060	0.103	0.076	0.108	0.095	0.105	0.083	595	751	465	556	1060	1307	3.571	0.848	60	0.796	2.1895	3.70	3.65	3.600	31.5	5.5	0.4	1.50	2.5	2.0	24.5	90.5	6.35	96.85	6.5	80.5	16.0	15.0	10.5	10.5	3.5	55.5	16.0	28.5	4.0	1.13	0.13	0.57	1.09	0.11	1.13	0.03
24	D	A10	NB	203005.02	7322680.67	2868	12	0	4	0	44	4	4	40	0	0	0	5	DSCN7482	0.082	0.140	0.104	0.120	0.108	0.132	0.106	811	1031	514	634	1325	1665	2.791	1.063	55	0.766	2.4339	3.90	3.65	3.600	35.0	13.5	0.5	1.75	3.5	2.0	23.5	90.0	7.75	97.75	7.5	76.5	22.0	21.0	10.0	10.0	3.0	66.0	11.0	23.0	3.0	1.13	0.13	0.56	1.67	0.07	1.08	NA
