x	y	parcela
202832.00	7322584.00	A00
202849.00	7322594.00	A01
202866.00	7322605.00	A02
202883.00	7322615.00	A03
202900.00	7322625.00	A04
202917.00	7322636.00	A05
202934.00	7322646.00	A06
202951.00	7322656.00	A07
202969.00	7322667.00	A08
202986.00	7322677.00	A09
203003.00	7322687.00	A10
203020.00	7322698.00	A11
203037.00	7322708.00	A12
203054.00	7322718.00	A13
203071.00	7322729.00	A14
203088.00	7322739.00	A15
202842.00	7322567.00	B00
202876.00	7322587.00	B02
202893.00	7322598.00	B03
202910.00	7322608.00	B04
202928.00	7322618.00	B05
202945.00	7322629.00	B06
202962.00	7322639.00	B07
202979.00	7322649.00	B08
202996.00	7322660.00	B09
203013.00	7322670.00	B10
203030.00	7322681.00	B11
203047.00	7322691.00	B12
203065.00	7322701.00	B13
203082.00	7322712.00	B14
203099.00	7322722.00	B15
202852.00	7322550.00	C00
202869.00	7322560.00	C01
202887.00	7322570.00	C02
202904.00	7322581.00	C03
202921.00	7322591.00	C04
202938.00	7322601.00	C05
202955.00	7322612.00	C06
202972.00	7322622.00	C07
202989.00	7322632.00	C08
203006.00	7322643.00	C09
203024.00	7322653.00	C10
203041.00	7322663.00	C11
203058.00	7322674.00	C12
203075.00	7322684.00	C13
203092.00	7322694.00	C14
203109.00	7322705.00	C15
202863.00	7322533.00	D00
202880.00	7322543.00	D01
202897.00	7322553.00	D02
202914.00	7322564.00	D03
202931.00	7322574.00	D04
202948.00	7322584.00	D05
202965.00	7322595.00	D06
202983.00	7322605.00	D07
203000.00	7322615.00	D08
203017.00	7322626.00	D09
203034.00	7322636.00	D10
203051.00	7322646.00	D11
203068.00	7322657.00	D12
203085.00	7322667.00	D13
203102.00	7322677.00	D14
203119.00	7322688.00	D15
202873.00	7322515.00	E00
202890.00	7322526.00	E01
202907.00	7322536.00	E02
202924.00	7322546.00	E03
202941.00	7322557.00	E04
202959.00	7322567.00	E05
202976.00	7322577.00	E06
202993.00	7322588.00	E07
203010.00	7322598.00	E08
203027.00	7322608.00	E09
203044.00	7322619.00	E10
203061.00	7322629.00	E11
