col_parc	period	plot	site	x	y	seeds	seedsp	euterpe	sloanea	virola	seedl	seedlsp	seedlsurv	eut.seedl	slo.seedl	vir.seedl	nivel	pH_H2O	pH_KCl	pH_Cacl2	MO	P	Na	K	Ca	Mg	Al	H+Al	SB	T	Vpct	mpct	vcs	cs	ms	fs	vfs	sandpct	siltpct	claypct	natclay	dens_gcm3	phi_r	phi_s	alfa	m	n	S
1	M	A0	B	202821.40	7322584.00	48	11	7	0	0	8	3	2	6	0	0	5	4.05	3.80	3.70	30.0	7.5	0.70	2.30	12.0	5.5	19.5	83.5	20.50	104.00	18.0	52.0	15.0	16.0	8.0	9.0	2.0	50.0	12.0	38.0	3.0	1.13	0.17	0.56	0.86	0.17	1.21	0.04
2	M	A2	NB	202867.90	7322608.27	48	11	0	0	0	2	2	1	0	0	0	6	4.75	4.25	4.35	31.5	11.0	1.25	3.75	54.0	16.0	5.0	78.5	75.00	153.50	45.5	9.0	17.5	14.5	8.0	11.5	3.5	55.0	12.0	33.0	19.0	1.13	0.15	0.56	0.95	0.15	1.17	0.04
3	M	D0	NB	202863.00	7322533.00	43	11	2	6	0	2	1	2	0	0	0	4	3.90	3.85	3.80	31.5	7.5	0.65	2.20	12.0	5.5	27.5	98.0	20.35	118.35	15.5	61.5	11.0	13.0	9.5	9.0	2.0	44.5	19.0	36.5	4.5	1.13	0.13	0.57	0.70	0.17	1.21	0.05
4	M	D1	NB	202885.07	7322531.48	250	21	1	1	0	2	2	1	0	0	0	5	3.95	3.70	3.70	25.5	15.5	0.85	2.35	2.5	4.5	29.5	113.0	10.20	123.20	11.0	68.5	9.5	12.5	10.0	13.5	3.5	49.0	13.5	37.5	3.0	1.13	0.16	0.57	0.75	0.16	1.20	0.04
5	M	D2	NB	202900.03	7322558.16	347	21	0	8	0	12	9	12	0	0	0	1	3.85	3.75	3.65	36.0	14.5	0.95	3.10	6.5	6.5	26.0	107.0	17.05	124.05	12.5	63.5	12.5	12.5	10.5	11.0	2.5	49.0	17.5	33.5	4.5	1.13	0.13	0.57	0.78	0.15	1.18	0.04
6	M	D0	NB	202874.42	7322521.66	21	10	0	2	0	10	8	7	0	0	0	4	3.90	3.80	3.80	55.0	6.5	1.10	3.00	3.0	3.5	25.0	97.5	10.60	108.10	9.0	73.0	15.0	14.0	10.0	10.5	3.0	52.5	12.5	35.0	3.0	1.13	0.16	0.56	0.87	0.15	1.19	0.04
7	M	K4	B	203008.86	7322455.54	36	8	7	0	0	15	5	12	7	0	1	3	3.85	3.85	3.85	37.5	6.0	0.40	1.75	3.0	2.0	21.0	70.5	7.15	77.65	8.5	76.5	16.5	18.5	9.5	9.5	3.0	57.0	12.0	31.0	4.0	1.13	0.15	0.56	1.03	0.13	1.15	0.04
8	M	K3	B	202998.09	7322442.03	34	9	5	0	3	5	1	3	5	0	0	4	3.75	3.70	3.75	47.5	23.5	1.50	3.85	28.5	5.5	23.5	116.5	39.35	155.85	23.0	44.5	17.0	16.5	10.5	9.5	3.0	56.5	14.5	29.0	7.0	1.13	0.13	0.57	1.04	0.11	1.13	0.03
9	M	K3	B	202990.83	7322433.55	121	15	6	0	0	15	3	14	13	0	0	4	4.00	3.55	3.60	62.5	25.5	0.80	2.95	16.5	10.0	24.0	118.5	30.25	148.75	18.5	51.0	9.0	17.0	12.0	10.0	2.5	50.5	7.5	42.0	8.5	1.13	0.19	0.55	0.79	0.19	1.24	0.04
10	M	L4	B	203022.22	7322437.62	322	12	12	0	0	19	2	13	18	0	0	3	3.70	3.65	3.60	38.5	10.5	0.95	2.50	4.5	5.5	23.5	103.5	13.45	116.95	10.5	66.5	10.5	15.5	8.0	6.5	2.0	42.5	12.0	45.5	1.0	1.13	0.18	0.55	0.67	0.21	1.28	0.05
11	M	L3	B	203011.22	7322431.98	7	3	4	0	0	6	3	5	4	0	0	3	3.70	3.65	3.60	38.5	10.5	0.95	2.50	4.5	5.5	23.5	103.5	13.45	116.95	10.5	66.5	10.5	15.5	8.0	6.5	2.0	42.5	12.0	45.5	1.0	1.13	0.18	0.55	0.67	0.21	1.28	0.05
12	M	M3	B	203020.32	7322416.44	114	13	57	0	1	17	1	17	17	0	0	2	4.30	3.90	3.90	38.5	13.0	0.90	3.40	13.0	7.5	15.5	81.5	24.80	106.30	20.0	48.0	9.0	17.0	10.5	8.0	3.5	48.0	13.5	38.5	2.0	1.13	0.16	0.56	0.77	0.18	1.22	0.04
13	M	M4	B	203038.50	7322416.90	469	8	448	0	0	63	3	34	61	0	1	3	3.75	3.70	3.60	41.0	7.0	0.40	1.60	3.5	4.5	25.5	81.0	10.00	91.00	10.5	73.5	10.0	12.0	7.0	5.5	2.5	37.0	12.5	50.5	1.0	1.13	0.19	0.56	0.58	0.24	1.32	0.05
14	M	N5	B	203051.02	7322415.12	753	16	94	0	4	5	1	1	5	0	0	2	3.75	3.45	3.45	51.0	10.0	1.60	7.95	9.5	10.5	22.5	125.5	29.55	155.05	19.0	44.0	13.0	18.0	9.0	8.5	2.5	51.0	12.5	36.5	8.0	1.13	0.16	0.56	0.86	0.16	1.20	0.04
