x	y
202939.90	7322589.83
202975.38	7322563.59
202988.62	7322591.57
203039.31	7322586.55
203039.68	7322587.43
203073.27	7322574.23
203073.73	7322581.40
203091.37	7322565.54
203049.60	7322671.27
203120.01	7322571.00
203107.46	7322612.99
203097.39	7322586.28
203082.93	7322598.75
203059.93	7322596.32
203061.91	7322601.95
203055.27	7322678.90
203116.12	7322658.99
203134.23	7322672.73
203119.99	7322674.06
203070.92	7322671.17
203118.78	7322701.02
203036.57	7322664.22
203024.12	7322675.74
203005.02	7322680.67
202959.41	7322662.95
202949.00	7322651.17
202947.02	7322632.21
202968.49	7322619.48
202914.95	7322549.53
202883.35	7322532.20
202874.84	7322515.73
202859.23	7322534.80
202876.07	7322506.40
202866.90	7322554.03
202905.79	7322502.41
202893.99	7322478.22
202934.59	7322482.18
202986.02	7322465.70
203002.16	7322440.63
203001.70	7322467.33
203036.15	7322457.54
203039.00	7322460.37
203060.84	7322491.14
203056.11	7322445.58
203076.25	7322429.07
203058.47	7322415.76
203044.55	7322413.08
203056.24	7322389.55
203057.28	7322386.19
203064.05	7322389.11
203073.97	7322369.40
203080.25	7322406.96
203091.91	7322393.08
203041.88	7322506.67
203007.64	7322503.99
202974.68	7322484.67
202960.24	7322492.80
202966.57	7322530.59
202941.43	7322507.81
202959.56	7322534.07
202943.65	7322558.68
202821.40	7322584.00
202867.90	7322608.27
202863.01	7322533.00
202885.07	7322531.48
202900.03	7322558.16
202874.42	7322521.66
203008.86	7322455.54
202998.09	7322442.03
202990.83	7322433.55
203022.22	7322437.62
203011.22	7322431.98
203020.32	7322416.44
203038.50	7322416.90
203051.02	7322415.12
203024.85	7322400.24
203075.34	7322423.03
203054.47	7322423.16
203059.50	7322432.62
203050.48	7322443.88
203025.66	7322460.79
203031.01	7322447.00
203033.33	7322453.50
202987.62	7322576.01
203012.51	7322592.44
203032.21	7322604.79
203000.11	7322584.14
203023.48	7322628.63
203045.17	7322600.25
203053.48	7322584.95
203063.46	7322575.20
203055.54	7322567.03
203076.67	7322561.45
203056.44	7322557.99
203103.06	7322557.12
203075.61	7322684.87
203125.12	7322696.90
202865.91	7322543.33
202891.27	7322493.17
202906.84	7322504.91
202894.84	7322480.49
202932.26	7322475.40
202935.91	7322468.38
202929.99	7322457.68
202914.76	7322565.30
202945.99	7322559.63
202953.28	7322536.35
202956.62	7322501.21
202940.25	7322510.14
202904.93	7322466.49
202977.81	7322432.47
202952.80	7322434.42
202938.30	7322647.04
202960.40	7322661.32
202947.04	7322632.21
202974.14	7322628.50
202978.41	7322599.19
202988.64	7322591.57
203017.28	7322678.74
203024.14	7322675.74
203034.57	7322656.70
202911.03	7322616.55
202889.96	7322572.52
202978.17	7322493.20
202986.03	7322465.70
203004.37	7322464.51
203060.85	7322491.14
203039.20	7322496.41
202922.80	7322530.32
202963.08	7322527.66
202972.31	7322503.68
203009.45	7322497.49
203013.52	7322531.96
203004.84	7322532.21
202924.64	7322584.93
202938.94	7322597.43
202907.57	7322590.75
202966.35	7322576.54
202915.77	7322608.90
202908.37	7322546.49
202876.05	7322506.40
