block	mhab	sow	add	excl	germ	s.unk	s.path	sdl.unk	sdl.herb	sdl.drought	sdl.surv	pemerg	M1	M2	p1	p2	M3	M4	M5	psurv	p3	p4	p5	precr
F1	B	2	C	O	0	2	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
G1	B	2	C	O	0	2	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
H2	B	2	C	O	0	2	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
E11	B	2	C	O	0	2	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
E14	B	2	C	O	0	2	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
D14	B	2	C	O	0	2	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
G10	B	2	C	O	0	2	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
H9	B	2	C	O	0	2	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
I11	B	2	C	O	0	2	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
I11	B	2	C	O	0	2	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
K2	B	2	C	O	0	2	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
M2	B	2	C	O	0	2	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
N2	B	2	C	O	0	2	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
O2	B	2	C	O	0	2	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
K3	B	2	C	O	0	2	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
K5	B	2	C	O	0	2	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
K3	B	2	C	O	0	2	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
K2-K3	B	2	C	O	0	2	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
K6	B	2	C	O	0	2	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
M9	B	2	C	O	0	2	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
F1	B	6	A	O	0	6	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
G1	B	6	A	O	0	6	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
H2	B	6	A	O	0	6	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
E11	B	6	A	O	0	6	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
E14	B	6	A	O	0	6	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
D14	B	6	A	O	0	6	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
G10	B	6	A	O	0	6	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
H9	B	6	A	O	0	6	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
I11	B	6	A	O	0	6	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
I11	B	6	A	O	0	6	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
K2	B	6	A	O	0	6	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
M2	B	6	A	O	2	4	0	2	0	0	0	0.33	0.67	0.00	0.33	1.00	0.33	0.00	0.00	0.00	0.67	1.00	1.00	0.00
N2	B	6	A	O	0	6	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
O2	B	6	A	O	0	6	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
K3	B	6	A	O	0	6	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
K5	B	6	A	O	1	5	0	1	0	0	0	0.17	0.83	0.00	0.17	1.00	0.17	0.00	0.00	0.00	0.83	1.00	1.00	0.00
K3	B	6	A	O	0	6	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
K2-K3	B	6	A	O	0	6	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
K6	B	6	A	O	0	6	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
M9	B	6	A	O	0	6	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
F1	B	2	C	E	2	0	0	1	0	0	1	1.00	0.00	0.00	1.00	1.00	0.50	0.00	0.00	0.50	0.50	1.00	1.00	0.50
G1	B	2	C	E	0	2	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
H2	B	2	C	E	2	0	0	1	0	0	1	1.00	0.00	0.00	1.00	1.00	0.50	0.00	0.00	0.50	0.50	1.00	1.00	0.50
E11	B	2	C	E	2	0	0	1	1	0	0	1.00	0.00	0.00	1.00	1.00	0.50	0.50	0.00	0.00	0.50	0.50	1.00	0.00
E14	B	2	C	E	0	2	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
D14	B	2	C	E	0	2	0	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
G10	B	2	C	E	2	0	0	2	0	0	0	1.00	0.00	0.00	1.00	1.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	0.00
H9	B	2	C	E	1	1	0	0	1	0	0	0.50	0.50	0.00	0.50	1.00	0.00	0.50	0.00	0.00	1.00	0.50	1.00	0.00
