col_plot	site	seedsnum	seedspp	seedlnum	seedlspp	seedlsppni	seedl.surv
10.H122	B	198	4	6	4	2	3
11.G12	B	73	6	12	4	6	7
12.G112	B	129	5	9	7	2	8
13.G111	B	804	10	8	3	3	5
14.F101	B	284	5	5	2	2	4
15.F102	B	218	4	9	4	4	6
16.E12	B	19	9	18	5	5	12
17.E14	B	82	7	12	4	6	5
18.E15	B	128	9	20	6	9	13
19.D14	B	2361	9	12	5	4	9
21.C15	B	22	3	33	6	5	16
35.F1	B	223	11	9	6	1	8
36.G0	B	69	9	14	6	2	7
37.H2	B	38	9	24	10	4	14
39.K3	B	372	8	9	6	1	7
4.F8	B	235	6	19	7	9	12
41.K51	B	2777	7	26	5	19	13
42.K52	B	314	7	7	5	0	6
46.N51	B	889	12	14	3	4	8
47.N41	B	693	13	19	4	8	5
48.N52	B	571	6	6	3	1	6
49.N42	B	32	3	15	3	8	10
5.F9	B	575	9	10	6	2	6
50.O5	B	166	5	18	6	9	12
51.P5	B	110	8	19	5	12	13
52.O61	B	3054	7	18	4	8	17
53.O62	B	69	12	15	5	7	12
6.G101	B	3063	3	10	5	3	10
7.G102	B	177	5	11	8	3	7
8.H11	B	76	4	9	4	3	5
9.H121	B	88	3	2	2	0	1
1.C5	SB	49	11	5	4	0	5
2.D5	SB	711	15	15	9	4	15
20.C13	SB	29	8	14	8	4	11
22.C10	SB	69	14	13	8	3	13
23.B10	SB	97	7	11	5	3	8
24.A10	SB	717	12	11	4	4	10
25.A7	SB	42	11	18	5	2	12
26.A6	SB	32	5	4	4	0	3
27.B6	SB	325	13	14	6	4	13
28.C7	SB	124	12	1	1	0	1
29.D2	SB	57	14	35	6	3	24
3.D7	SB	162	12	37	10	6	35
30.D1	SB	94	18	7	4	1	5
31.D01º	SB	77	12	12	5	2	9
32.D02º	SB	114	16	10	5	2	10
33.E0	SB	44	10	6	4	1	6
34.C0	SB	743	11	5	4	1	3
38.J3	SB	303	15	33	4	17	25
40.J4	SB	74	18	10	5	1	9
43.K7	SB	170	10	11	7	2	7
44.L6	SB	193	14	14	8	4	8
45.N6	SB	180	13	10	6	3	8
54.J6	SB	117	9	14	5	7	14
55.I5	SB	35	6	7	4	1	6
56.I4	SB	81	8	16	7	1	15
57.H4	SB	64	13	17	2	5	8
58.G4	SB	79	15	26	7	15	22
59.G3	SB	168	13	9	3	2	7
60.F4	SB	83	10	14	3	7	14
61.E4	SB	148	10	6	2	3	4
